source_url,strain_count,strain_id
https://multiversebeans.com/product/cali-connection-grape-og-strain-fem-photo-6-pack/,1,[6193]
https://multiversebeans.com/product/cali-connection-green-crack-strain-fem-photo-6-pack/,1,[6310]
https://multiversebeans.com/product/cali-connection-gushin-98-strain-fem-photo-6-pack/,1,[6470]
https://multiversebeans.com/product/cali-connection-island-punch-strain-auto-fem-6-pack/,1,[7175]
https://multiversebeans.com/product/cali-connection-island-punch-strain-fem-photo-6-pack/,1,[7173]
https://multiversebeans.com/product/cali-connection-italian-ice-strain-fem-photo-6-pack/,1,[7185]
https://multiversebeans.com/product/cali-connection-jedi-kush-strain-fem-photo-6-pack/,1,[7327]
https://multiversebeans.com/product/cali-connection-jupiter-og-kush-strain-fem-photo-6-pack/,1,[15858]
https://multiversebeans.com/product/cali-connection-la-affie-strain-fem-photo-6-pack/,1,[7863]
https://multiversebeans.com/product/cali-connection-la-cookies-strain-fem-photo-6-pack/,1,[7882]
https://multiversebeans.com/product/cali-connection-larry-og-kush-strain-fem-photo-6-pack/,1,[7950]
https://multiversebeans.com/product/cali-connection-lemon-tart-strain-fem-photo-6-pack/,1,[8232]
https://multiversebeans.com/product/cali-connection-mint-milano-gold-collection-strain-fem-photo-6-pack/,1,[9154]
https://multiversebeans.com/product/cali-connection-ogiesel-strain-fem-photo-6-pack/,1,[9901]
https://multiversebeans.com/product/cali-connection-passion-berry-gold-collection-strain-fem-photo-6-pack/,1,[10347]
https://multiversebeans.com/product/cali-connection-pre-98-bubba-BX2-strain-fem-photo-6-pack/,1,[11045]
https://multiversebeans.com/product/cali-connection-purple-chem-strain-fem-photo-6-pack/,1,[11202]
https://multiversebeans.com/product/cali-connection-purple-crack-strain-fem-photo-6-pack/,1,[11223]
https://multiversebeans.com/product/cali-connection-purple-diesel-strain-fem-photo-6-pack/,1,[11232]
https://multiversebeans.com/product/cali-connection-strawberry-og-strain-fem-photo-6-pack/,1,[13452]
https://multiversebeans.com/product/cali-connection-strawberry-tiramisu-strain-fem-photo-6-pack/,1,[13496]
https://multiversebeans.com/product/cali-connection-sugarmill-gold-collection-strain-fem-photo-6-pack/,1,[13601]
https://multiversebeans.com/product/cali-connection-tahoe-ogk-fem-photo-6-pack/,1,[14091]
https://multiversebeans.com/product/cali-connection-tiramisu-gold-collection-strain-fem-photo-6-pack/,1,[14428]
https://multiversebeans.com/product/california-haze-humboldt-seed-co/,1,[2412]
https://multiversebeans.com/product/candi-paint-lit-farms-photoperiod-female-cannabis-seeds/,1,[2459]
https://multiversebeans.com/product/cannarado-genetics-daily-blues-strain-reg-photo-10-pack/,1,[3870]
https://multiversebeans.com/product/cannarado-genetics-dunk-tank-strain-reg-photo-10-pack/,1,[4471]
https://multiversebeans.com/product/cannarado-genetics-riesling-strain-reg-photo-10-pack/,1,[11814]
https://multiversebeans.com/product/cannarado-genetics-whirled-peas-strain-fem-photo-6-pack/,1,[15143]
https://multiversebeans.com/product/canuk-seeds-GG4-strain-fem-photo/,1,[5507]
https://multiversebeans.com/product/canuk-seeds-LSD-elite-strain-auto-fem/,1,[8481]
https://multiversebeans.com/product/canuk-seeds-LSD-elite-strain-fem-photo/,1,[8480]
https://multiversebeans.com/product/canuk-seeds-ak-strain-fem-photo/,1,[260]
https://multiversebeans.com/product/canuk-seeds-ak-x-critical-mass-strain-fem-photo/,1,[298]
https://multiversebeans.com/product/canuk-seeds-amnesia-strain-fem-photo/,1,[461]
https://multiversebeans.com/product/canuk-seeds-ayahuasca-purple-elite-strain-fem-photo/,1,[815]
https://multiversebeans.com/product/canuk-seeds-banana-kush-strain-fem-photo/,1,[963]
https://multiversebeans.com/product/canuk-seeds-banana-punch-strain-fem-photo/,1,[1002]
https://multiversebeans.com/product/canuk-seeds-black-domina-strain-fem-photo/,1,[1417]
https://multiversebeans.com/product/canuk-seeds-blue-cheese-strain-fem-photo/,1,[1638]
https://multiversebeans.com/product/canuk-seeds-blue-widow-elite-strain-fem-photo/,1,[1836]
https://multiversebeans.com/product/canuk-seeds-blueberry-strain-fem-photo/,1,[1861]
https://multiversebeans.com/product/canuk-seeds-bubba-kush-strain-fem-photo/,1,[2198]
https://multiversebeans.com/product/canuk-seeds-bubbleg-strain-fem-photo/,1,[2266]
https://multiversebeans.com/product/canuk-seeds-cake-bomb-elite-strain-fem-photo/,1,[2384]
https://multiversebeans.com/product/canuk-seeds-cement-shoes-elite-strain-fem-photo/,1,[2720]
https://multiversebeans.com/product/canuk-seeds-cheese-strain-auto-fem/,1,[2794]
https://multiversebeans.com/product/canuk-seeds-cheese-strain-fem-photo/,1,[2781]
https://multiversebeans.com/product/canuk-seeds-cherry-cookies-elite-strain-fem-photo/,1,[2981]
https://multiversebeans.com/product/canuk-seeds-cherry-pie-strain-fem-photo/,1,[3033]
https://multiversebeans.com/product/canuk-seeds-chocolate-bruce-elite-strain-fem-photo/,1,[3137]
https://multiversebeans.com/product/canuk-seeds-cinderella-99-strain-fem-photo/,1,[3249]
https://multiversebeans.com/product/canuk-seeds-citrus-skunk-elite-strain-fem-photo/,1,[3304]
https://multiversebeans.com/product/canuk-seeds-clementine-strain-fem-photo/,1,[3314]
https://multiversebeans.com/product/canuk-seeds-coco-melon-elite-strain-fem-photo/,1,[3352]
https://multiversebeans.com/product/canuk-seeds-cookie-kush-elite-strain-fem-photo/,1,[3444]
