strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Jacks Dream,https://herbiesheadshop.com/cannabis-seeds/jacks-dream,html/a11048690df6cd61.html,Green House Seeds
Candyland Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/candyland-herbies-seeds-usa,html/a150fc57d62fe9ca.html,Herbies Seeds
Bruce Banner 3 Auto,https://herbiesheadshop.com/cannabis-seeds/bruce-banner-3-auto,html/a161e14be0b166a8.html,Herbies Seeds
Auto Blackberry Kush,https://herbiesheadshop.com/cannabis-seeds/auto-blackberry-kush,html/a1648f29f8aa2ff8.html,Dutch Passion
Forbidden Fruit Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/forbidden-fruit-herbies-seeds-usa,html/a1747bdff63b8fae.html,Herbies Seeds
Original Auto Skunk Fastbuds,https://herbiesheadshop.com/cannabis-seeds/original-auto-skunk-fastbuds,html/a248ab8f59b75639.html,Fast Buds
Ak Automatic Blimburn Seeds,https://herbiesheadshop.com/cannabis-seeds/ak-automatic-blimburn-seeds,html/a27152868f51e6f9.html,Blimburn Seeds
Runtz Autoflower,https://herbiesheadshop.com/cannabis-seeds/runtz-autoflower,html/a2833b1c7b1398b7.html,EGS
Amnesia Haze Auto Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/amnesia-haze-auto-barneys-farm,html/a2b3d1267d215a0f.html,Barney's Farm
Cbg Force Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/cbg-force-dutch-passion,html/a3545b6c295df241.html,Dutch Passion
Ginger Punch Auto,https://herbiesheadshop.com/cannabis-seeds/ginger-punch-auto,html/a40bafee88ecd9dc.html,Kannabia Seeds
Bruce Banner 3 Auto Growers Choice,https://herbiesheadshop.com/cannabis-seeds/bruce-banner-3-auto-growers-choice,html/a4122139ee09ffab.html,Growers Choice
Limoncello Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/limoncello-barneys-farm,html/a4b8f929b19e2da8.html,Barney's Farm
Strawberry Cough Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/strawberry-cough-herbies-seeds-usa,html/a4d5db8cb01c3187.html,Herbies Seeds
Big Tooth Ghs,https://herbiesheadshop.com/cannabis-seeds/big-tooth-ghs,html/a4eb773143fad0ee.html,Green House Seeds
Autobomb,https://herbiesheadshop.com/cannabis-seeds/autobomb,html/a5c74ef23bc4a685.html,Green House Seeds
The Ultimate,https://herbiesheadshop.com/cannabis-seeds/the-ultimate,html/a60aa3b0c9f2728b.html,Dutch Passion
Kongs Krush Ghs,https://herbiesheadshop.com/cannabis-seeds/kongs-krush-ghs,html/a61218c299459189.html,Green House Seeds
Money Maker Ghs,https://herbiesheadshop.com/cannabis-seeds/money-maker-ghs,html/a61f0c3dc34bb2bc.html,Green House Seeds
Lemon Auto Cbd Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/lemon-auto-cbd-herbies-seeds,html/a701f6a4ea9d8d85.html,Herbies Seeds
